dam,date_or_period,level_ft,kind,vintage_year,source_title,source_url,quote
Bhakra,21 Aug 2019,1680 (permissible) / 1679.5 (observed) -> target 1675,permissible limit / observed / decided drawdown target,2019,"Reservoir to brim, Bhakra water released -- The Tribune (21 Aug 2019)",https://www.tribuneindia.com/news/archive/punjab/reservoir-to-brim-bhakra-water-released-818475,"The reservoir's permissible limit is 1,680 feet ... The water level this morning was 1,679.5 feet ... which will be brought down to 1,675 feet"
Bhakra,19 Jul 2018,n/a (comparative deficit only, no absolute level given),comparative shortfall vs prior year (not schedule),2018,"With water downstream subsiding, discharge from Bhakra to be stepped up -- The Tribune (20 Jul 2018)",https://www.tribuneindia.com/news/archive/punjab/with-water-downstream-subsiding-discharge-from-bhakra-to-be-stepped-up-819774,"As on date, reservoir levels of Pong and Bhakra are lower by 36.88 ft and 77.2 ft, respectively, compared to the water level on the same day last year."
Bhakra,13 Aug 2023,1672,observed level at floodgate opening (compared to max capacity),2023,"Bhakra Dam authorities open floodgates after 2 years, 45,000 cusecs released -- Newsdrum/PTI",https://www.newsdrum.in/national/bhakra-dam-authorities-open-floodgates-after-2-years-45000-cusecs-released-9676965,"Bhakra's floodgates were last opened on August 13, 2023, when water levels touched 1672 ft, close to the dam's maximum capacity of 1680.82 ft."
Bhakra,12 Aug 2023,1666.67,observed level vs FRL (BBMB chairman statement),2023,"No dispute about role of Pong and Bhakra dams in Punjab Aug 2023 floods -- SANDRP",https://sandrp.in/2023/08/21/no-dispute-about-role-of-pong-and-bhakra-dams-in-punjab-aug-2023-floods/,"level of Bhakra dam on Aug 12 was 1666.67 ft, which is just 13.33 ft below the FRL"
Bhakra,14 Aug 2023,1678,observed level vs FRL 1680,2023,"No dispute about role of Pong and Bhakra dams in Punjab Aug 2023 floods -- SANDRP",https://sandrp.in/2023/08/21/no-dispute-about-role-of-pong-and-bhakra-dams-in-punjab-aug-2023-floods/,"water level at Bhakra on Aug 14: 1678 ft against FRL of 1680 ft"
Bhakra,26 Aug 2023,1670.70,observed level (9 ft below danger mark),2023,"outflow from bhakra to rise as water level closer to danger mark -- The Tribune",https://www.tribuneindia.com/news/punjab/outflow-from-bhakra-to-rise-as-water-level-closer-to-danger-mark,"water level at Bhakra Dam's Gobind Sagar Lake was recorded at 1670.70 feet, remaining approximately 9 feet below the danger mark of 1680 feet"
Bhakra,19 Aug 2025,1662,guideline,2025,"What opening of Bhakra floodgates means for Punjab and Sutlej basin -- The Tribune",https://www.tribuneindia.com/news/explainers/what-opening-of-bhakra-floodgates-means-for-punjab-and-sutlej-basin/,"on August 19, the water level at Bhakra Dam touched 1,665.06 feet, which is 3 feet above the regulatory guideline of 1,662 feet set for this date"
Bhakra,19 Aug 2025,1662,guideline (BBMB rules),2025,"Bhakra dam to release water in phased manner: BBMB issues warning -- The Tribune (19 Aug 2025)",https://www.tribuneindia.com/news/punjab/bhakra-dam-to-release-water-in-phased-manner-bbmb-issues-warning,"as per the rules formed by BBMB till August 19th the water level at Bhakra Dam should have been 1662 feet"
Bhakra,19 Aug 2025,1665.37,observed level (same-day update),2025,"Bhakra Dam authorities open floodgates after 2 years, 45,000 cusecs released -- Newsdrum/PTI",https://www.newsdrum.in/national/bhakra-dam-authorities-open-floodgates-after-2-years-45000-cusecs-released-9676965,"Today, with the water level rising to 1665.37 ft, authorities have resumed the cautious release strategy to manage inflows effectively."
Bhakra,1 Aug 2025,n/a (53% full, no absolute level quoted),percent-full milestone,2025,"Punjab Floods 2025: Role of Bhakra, Pong and Ranjit Sagar Dams -- SANDRP",https://sandrp.in/2025/09/07/punjab-floods-2025-role-of-bhakra-pong-and-ranjit-sagar-dams/,"By Aug 1, Bhakra dam was already 53% full"
Bhakra,19-20 Aug 2025,1666,observed level (14 ft from FRL, 80% full),2025,"Punjab Floods 2025: Role of Bhakra, Pong and Ranjit Sagar Dams -- SANDRP",https://sandrp.in/2025/09/07/punjab-floods-2025-role-of-bhakra-pong-and-ranjit-sagar-dams/,"By Aug 19 water level in the dam was already at 1666 ft, just 14 ft from the Full Reservoir Level (FRL)"
Bhakra,2 Sep 2025,1676.78,observed level (88% full),2025,"Punjab Floods 2025: Role of Bhakra, Pong and Ranjit Sagar Dams -- SANDRP",https://sandrp.in/2025/09/07/punjab-floods-2025-role-of-bhakra-pong-and-ranjit-sagar-dams/,"By Sept 2 morning, water level reached 1676.78 ft (dam 88% full)"
Bhakra,3 Sep 2025,1677.84 (6am) / 1678.45 (evening),observed level (93% full by evening),2025,"Punjab Floods 2025: Role of Bhakra, Pong and Ranjit Sagar Dams -- SANDRP",https://sandrp.in/2025/09/07/punjab-floods-2025-role-of-bhakra-pong-and-ranjit-sagar-dams/,"By 6 am on Sept 3, 1677.84 ft and further up to 1678.45 ft (93% full) by Sept 3 evening"
Bhakra,4 Sep 2025,1679,observed peak for the season,2025,"Punjab Floods 2025: Role of Bhakra, Pong and Ranjit Sagar Dams -- SANDRP",https://sandrp.in/2025/09/07/punjab-floods-2025-role-of-bhakra-pong-and-ranjit-sagar-dams/,"Bhakra highest level reached this season on 1679 ft on Sept 4"
Bhakra,15 Sep 2025,1676.16,observed level (97% full),2025,"Bhakra, Pong reservoirs enter post-monsoon season with significantly lower storage than last year -- The Tribune",https://www.tribuneindia.com/news/punjab/bhakra-pong-reservoirs-enter-post-monsoon-season-with-significantly-lower-storage-than-last-year/,"Bhakra stood at 1,676.16 feet and was 97 per cent full [on 15 September 2025]"
Bhakra,15 Sep 2026,1644.47 / 1644.88,observed level (71% full),2026,"Bhakra, Pong reservoirs enter post-monsoon season with significantly lower storage than last year -- The Tribune; corroborated by BBMB Reservoir Data live feed",https://www.tribuneindia.com/news/punjab/bhakra-pong-reservoirs-enter-post-monsoon-season-with-significantly-lower-storage-than-last-year/,"Bhakra Reservoir stood at 1,644.47 feet on September 15, with 4.03 billion cubic metres (BCM) of live storage [at 71% capacity]"
Bhakra,annual maximum various years,1600.82 (2004-05) to 1681.53 (2010-11),historical range of season-peak levels (not schedule targets),multi-year (reported 2026),"Bhakra, Pong reservoirs enter post-monsoon season with significantly lower storage than last year -- The Tribune",https://www.tribuneindia.com/news/punjab/bhakra-pong-reservoirs-enter-post-monsoon-season-with-significantly-lower-storage-than-last-year/,"Bhakra's annual maximums ranged from around 1,600.82 feet in 2004-05 to 1,681.53 feet in 2010-11"
Bhakra,annual maximum 2019-20 / 2024,1680.82 / 1648.38,season-peak levels (not schedule targets),2019-20 and 2024 (reported 2026),"Bhakra, Pong reservoirs enter post-monsoon season with significantly lower storage than last year -- The Tribune",https://www.tribuneindia.com/news/punjab/bhakra-pong-reservoirs-enter-post-monsoon-season-with-significantly-lower-storage-than-last-year/,"1,680.82 feet in 2019-20 ... [and] 1,648.38 feet [in 2024]"
Bhakra,year-round design level,1680 / 1690 / 1700,FRL / MWL / top of dam,current (snapshot 17-Sep-2026),BBMB Reservoir Data,https://bbmb.gov.in/writereaddata/Portal/Images/pdf/res_data.pdf,"Bhakra Dam FRL- 1680 ft MWL- 1690 ft Top of Dam - 1700 ft"
Bhakra,year-round design level (PMF revision),1680 (revised down from technical 1690),FRL (post-PMF revision),2025 reporting,"Mismanagement of three major dams -- Bhakra, Pong and Ranjit Sagar -- worsened the 2025 Punjab floods -- Down To Earth",https://www.downtoearth.org.in/natural-disasters/mismanagement-of-three-major-dams-bhakra-pong-and-ranjit-sagar-worsened-the-2025-punjab-floods,"Bhakra PMF was revised by BBMB and hence new FRL is 1680 which earlier was technically upto 1690 ft"
Pong,15 Aug,1380,alert level (Yellow / internal),2025 (11th update of EAP, May 2025),"BBMB Emergency Action Plan/Disaster Management Plan for Pong Dam (Talwara), Annexure-III(ii-iv)",https://bbmb.gov.in/writereaddata/Portal/GeneralDocument/492_1_Pong_Dam_EAP_Amended.pdf,"Reservoir level reaching + 13801ft [1380 ft] by 15th August Inflows are of theorder of 100,000 cusecs"
Pong,31 Aug,1380,alert level (Blue / internal),2025 (11th update of EAP, May 2025),"BBMB Emergency Action Plan/Disaster Management Plan for Pong Dam (Talwara), Annexure-III(i-iv)",https://bbmb.gov.in/writereaddata/Portal/GeneralDocument/492_1_Pong_Dam_EAP_Amended.pdf,"RWL is >= 1380 ft and inflows are 75000 cusecs on 31st August"
Pong,20 Aug,1390,alert level (Orange / external),2025 (11th update of EAP, May 2025),"BBMB Emergency Action Plan/Disaster Management Plan for Pong Dam (Talwara), Annexure-III(iii-iv)",https://bbmb.gov.in/writereaddata/Portal/GeneralDocument/492_1_Pong_Dam_EAP_Amended.pdf,"RWL reaching + 1390 by 20th August inflows of the Order of lacs cusecs are coming Out flows are 200000 cusecs heavy flood likely to impinge to reservoir as Per IMD forecasting"
Pong,31 Aug,1410,alert level (Red / external -- catastrophic),2025 (11th update of EAP, May 2025),"BBMB Emergency Action Plan/Disaster Management Plan for Pong Dam (Talwara), Annexure-III(iv-iv)",https://bbmb.gov.in/writereaddata/Portal/GeneralDocument/492_1_Pong_Dam_EAP_Amended.pdf,"RWL is1410 by 31st August. Inflows are of the order of300000cusecs and outflows are corresponding to full spillway gates opening (6Nos.)"
Pong,year-round ceiling (late monsoon),1390,max level decided by BBMB Board 138th/139th meetings (post-1988-flood rule curve origin),1990 decision (reported 2019),"BBMB reply to Lok Sabha Question Dy.No.9278, answered 03.01.2019",https://bbmb.gov.in/writereaddata/Portal/GeneralDocument/268_1_Parliamentary_Questions_2019_Technical_Section.pdf,"maximum level at Bhakra and Pong reservoirs should be kept 1680 ft and 1390 ft respectively for the storage purposes to cater any flood eventuality occurring in late monsoon months"
Pong,year-round design level,1400,designed FRL (pre-1990 curtailment),1990s design value (reported 2019),"BBMB reply to Lok Sabha Question Dy.No.9278, answered 03.01.2019",https://bbmb.gov.in/writereaddata/Portal/GeneralDocument/268_1_Parliamentary_Questions_2019_Technical_Section.pdf,"The designed Full Reservoir Level of Bhakra and Pong Dams are 1690 ft and 1400 ft respectively"
Pong,14 Aug 2023,1395.31,observed level vs upper permissible limit 1390 ft,2023,"Rain fury: Pong dam records highest ever inflows, water level goes 5 ft above top mark -- The Tribune (15 Aug 2023)",https://www.tribuneindia.com/news/punjab/rain-fury-pong-dam-records-highest-ever-inflows-water-level-goes-5-ft-above-top-mark-535072,"The water level at Pong touched 1,395.31 feet today afternoon compared to the upper limit of 1,390 feet, translating to the available storage reaching 107 per cent of its designed capacity."
Pong,14 Aug 2023,n/a (inflow record, no level),record inflow event,2023,"Rain fury: Pong dam records highest ever inflows... -- The Tribune",https://www.tribuneindia.com/news/punjab/rain-fury-pong-dam-records-highest-ever-inflows-water-level-goes-5-ft-above-top-mark-535072,"The dam recorded its highest-ever inflow of 7.3 lakh cusecs ... on August 14, since becoming operational in 1974."
Pong,15 Aug 2023,1399.65,observed level (rapid 4-day rise),2023,"No dispute about role of Pong and Bhakra dams in Punjab Aug 2023 floods -- SANDRP",https://sandrp.in/2023/08/21/no-dispute-about-role-of-pong-and-bhakra-dams-in-punjab-aug-2023-floods/,"water level escalated from 1,374.20 feet to 1,399.65 feet, a rapid rise of over 25 feet in just four days [11-15 Aug 2023]"
Pong,14 Aug 2023,1400,observed level vs FRL 1390,2023,"No dispute about role of Pong and Bhakra dams in Punjab Aug 2023 floods -- SANDRP",https://sandrp.in/2023/08/21/no-dispute-about-role-of-pong-and-bhakra-dams-in-punjab-aug-2023-floods/,"at Pong dam at almost 1400 ft against FRL of 1390 feet [on Aug 14]"
Pong,early Aug (low-rainfall period),1363,rule-curve-implied guideline (early-August, per SANDRP paraphrase of BBMB rule curve),undated (reported 2023),"No dispute about role of Pong and Bhakra dams in Punjab Aug 2023 floods -- SANDRP",https://sandrp.in/2023/08/21/no-dispute-about-role-of-pong-and-bhakra-dams-in-punjab-aug-2023-floods/,"water level should have been maintained at approximately 1,363 feet during low-rainfall periods in early August [per rule curve]"
Pong,6 Aug 2025,1370.6,observed level (first 5 days of Aug; 13 ft rise),2025,"Mismanagement of three major dams -- Bhakra, Pong and Ranjit Sagar -- worsened the 2025 Punjab floods -- Down To Earth",https://www.downtoearth.org.in/natural-disasters/mismanagement-of-three-major-dams-bhakra-pong-and-ranjit-sagar-worsened-the-2025-punjab-floods,"Due to sustained heavy rains, the Pong Dam reservoir water level has risen to 1370.6 feet, a 13-foot increase in the first five days of August. The permissible maximum filling level is 1390 feet"
Pong,18 Aug 2025,1379.98,observed level (BBMB ordered release of 57221 cusecs),2025,"Water level in Pong Dam touches 1,379.98 feet, BBMB orders release of 57,221 cusecs -- The Tribune",https://www.tribuneindia.com/news/floodalert/water-level-in-pong-dam-touches-1379-98-feet-bbmb-orders-release-of-57221-cusecs,"Water level in Pong Dam touches 1,379.98 feet, BBMB orders release of 57,221 cusecs"
Pong,5 Sep 2025 (6am),1394.71,observed level (per BBMB data),2025,"PTC News / BBMB data (Sept 2025 flood coverage)",https://www.ptcnews.tv/nation/pong-dam-water-level-rises-himachal-rainfall-bhakra-dam-update-september-2025-punjab-floods-4414571,"As of 6:00 am on September 5, 2025, Pong Dam recorded a water level of 1,394.71 feet according to BBMB data."
Pong,5 Sep 2025,1394.71,observed peak for the season,2025,"Punjab Floods 2025: Role of Bhakra, Pong and Ranjit Sagar Dams -- SANDRP",https://sandrp.in/2025/09/07/punjab-floods-2025-role-of-bhakra-pong-and-ranjit-sagar-dams/,"Highest water level in Pong this year was 1394.71 ft on Sept 5"
Pong,mid-Sep 2025 (Thursday),1394.51,observed level (years highest, above danger mark),2025,"pong dam touches years highest level at 1394 51 feet -- The Tribune",https://www.tribuneindia.com/news/himachal/pong-dam-touches-years-highest-level-at-1394-51-feet,"Pong Dam reached its highest level of the year at 1,394.51 feet, well above the danger mark of 1,390 feet"
Pong,17 Sep 2025,1395.17,observed level vs stipulated upper limit 1390 ft,2025,"Water level in Pong Dam rises over 5 feet above danger mark as rains lash Himachal -- The Tribune",https://www.tribuneindia.com/news/himachal/water-level-in-pong-dam-rises-over-5-feet-above-danger-mark-as-rains-lash-himachal/,"level at the Pong Dam recorded on Wednesday morning (September 17, 2025) was 1,395.17 feet against the stipulated upper limit of 1,390 feet, according to information released by the Bhakra Beas Management Board"
Pong,15 Sep 2025,1392.48,observed level (103% of live capacity),2025,"Bhakra, Pong reservoirs enter post-monsoon season with significantly lower storage than last year -- The Tribune",https://www.tribuneindia.com/news/punjab/bhakra-pong-reservoirs-enter-post-monsoon-season-with-significantly-lower-storage-than-last-year/,"Pong was at 1,392.48 feet, with the BBMB record showing storage at 103 per cent of live capacity [on 15 September 2025]"
Pong,15 Sep 2026,1372.37 / 1371.92,observed level (79% of live capacity),2026,"Bhakra, Pong reservoirs enter post-monsoon season with significantly lower storage than last year -- The Tribune; corroborated by BBMB Reservoir Data live feed",https://www.tribuneindia.com/news/punjab/bhakra-pong-reservoirs-enter-post-monsoon-season-with-significantly-lower-storage-than-last-year/,"Pong Reservoir was at 1,372.37 feet, holding 4.54 BCM [at 79% capacity, on 15 September 2026]"
Pong,annual maximum various years,1339.48 (2009-10) to 1394.49 (2010-11),historical range of season-peak levels (not schedule targets),multi-year (reported 2026),"Bhakra, Pong reservoirs enter post-monsoon season with significantly lower storage than last year -- The Tribune",https://www.tribuneindia.com/news/punjab/bhakra-pong-reservoirs-enter-post-monsoon-season-with-significantly-lower-storage-than-last-year/,"Pong's annual maximums varied from 1,339.48 feet in 2009-10 to 1,394.49 feet in 2010-11"
Pong,annual maximum 2024,1365.43,season-peak level (not schedule target),2024 (reported 2026),"Bhakra, Pong reservoirs enter post-monsoon season with significantly lower storage than last year -- The Tribune",https://www.tribuneindia.com/news/punjab/bhakra-pong-reservoirs-enter-post-monsoon-season-with-significantly-lower-storage-than-last-year/,"2024 peaking at 1,365.43 feet"
Pong,31 Aug (EAP alert context),1380,EAP alert-level reference (also cited by team-lead's brief as ~31 Aug alert),2025,"Bhakra Beas Management Board Emergency Action Plan/Disaster Management Plan -- Pong Dam",https://bbmb.gov.in/writereaddata/Portal/GeneralDocument/492_1_Pong_Dam_EAP_Amended.pdf,"(duplicate cross-reference of the Blue-level entry above; retained per instruction to keep duplicates across sources)"
Pong,26 Aug 2025,1393,observed level (above FRL of 1390 ft),2025,"Mismanagement of three major dams -- Bhakra, Pong and Ranjit Sagar -- worsened the 2025 Punjab floods -- Down To Earth",https://www.downtoearth.org.in/natural-disasters/mismanagement-of-three-major-dams-bhakra-pong-and-ranjit-sagar-worsened-the-2025-punjab-floods,"water level had already crossed 1,393 feet on August 26, above the FRL of 1,390 ft"
Pong,8 Aug 2025,1376.07,observed level (83% full),2025,"Mismanagement of three major dams -- Bhakra, Pong and Ranjit Sagar -- worsened the 2025 Punjab floods -- Down To Earth",https://www.downtoearth.org.in/natural-disasters/mismanagement-of-three-major-dams-bhakra-pong-and-ranjit-sagar-worsened-the-2025-punjab-floods,"level was already 1,376.07 feet [on August 8] and already 83 per cent full"
Pong,year-round design level,1390 / 1400 / 1410 / 1421 / 1430,Reduced FRL / Design FRL / Reduced MWL / Design MWL / top of dam,current (snapshot 17-Sep-2026),BBMB Reservoir Data,https://bbmb.gov.in/writereaddata/Portal/Images/pdf/res_data.pdf,"Design FRL - 1400 ft. Reduced FRL - 1390 ft. Design MWL - 1421 ft. Reduced MWL - 1410 ft. Top of Dam - 1430 ft."
Pong,year-round operating ceiling,1390 / 1400,FRL / MWL (as operated),2025 reporting,"Punjab Floods 2025: Role of Bhakra, Pong and Ranjit Sagar Dams -- SANDRP",https://sandrp.in/2025/09/07/punjab-floods-2025-role-of-bhakra-pong-and-ranjit-sagar-dams/,"Pong can technically store water upto 1421 ft, but now restricted to FRL of 1390 and MWL of 1400 ft"
Pong,year-round danger mark,1390,danger level (not date-specific),2025,"Water level in Pong Dam touches 1,379.98 feet, BBMB orders release of 57,221 cusecs -- The Tribune",https://www.tribuneindia.com/news/floodalert/water-level-in-pong-dam-touches-1379-98-feet-bbmb-orders-release-of-57221-cusecs,"The maximum storage capacity of the dam is 1,410 feet, with 1,390 feet marked as the danger level"
Pong,year-round release-trigger practice,1365,general operating practice threshold (not a dated schedule point),2025,"Water level in Pong Dam touches 1,379.98 feet, BBMB orders release of 57,221 cusecs -- The Tribune",https://www.tribuneindia.com/news/floodalert/water-level-in-pong-dam-touches-1379-98-feet-bbmb-orders-release-of-57221-cusecs,"Normally, in general practice, the BBMB authorities release water when its level crosses 1,365 feet"
Both,n/a,n/a,narrative note -- no numeric rule curve found for this claim,2025 (reported),"Punjab Assembly Estimates/Public Accounts Committee findings as summarized by Down To Earth and IAS Gyan (UPSC current affairs digest)",https://www.downtoearth.org.in/natural-disasters/mismanagement-of-three-major-dams-bhakra-pong-and-ranjit-sagar-worsened-the-2025-punjab-floods,"the full reservoir levels (FRL) of Bhakra and Pong dams remain unchanged at 1680 ft and 1390 ft, respectively [despite] a historic inflow of 797,800 cusecs during the 1988 floods ... the BBMB continues to follow the outdated 1990 Rule Curve [per a Rajya Sabha reply the article cites but does not link]"
